Word.Learning,Word.Natives,Transcription,CategoryIds,Examples.Native,Examples.Learning,TranslationVariants.Native,TranslationVariants.Learning,Synonyms.Learning,Synonyms.Natives,Grammar.Note,Grammar.Native,Grammar.Learning
parque,park;garden,/ˈparke/,-3,Walk in the park;Beautiful park,Caminar en el parque;Parque hermoso,Garden;Recreation area,Jardín;Área recreativa,,,noun;masculine,Park,Parque
calle,street;road,/ˈkaʎe/,-3,Cross the street;Main road,Cruzar la calle;Carretera principal,Road;Avenue,Carretera;Avenida,carretera;avenida,highway;avenue,noun;feminine,Street,Calle
ciudad,city;town,/θjuˈðað/,-3,Big city;Small town,Ciudad grande;Pueblo pequeño,Town;Municipality,Pueblo;Municipio,metrópoli;urbe,metropolis;city,noun;feminine,City,Ciudad
país,country;nation,/paˈis/,-3,Beautiful country;Foreign nation,País hermoso;Nación extranjera,Nation;State,Nación;Estado,,,noun;masculine,Country,País
mundo,world;earth,/ˈmundo/,-3,Around the world;Beautiful world,Alrededor del mundo;Mundo hermoso,Earth;Globe,Tierra;Globo,planeta;tierra,planet;earth,noun;masculine,World,Mundo
rojo,red;crimson,/ˈroχo/,-4,Red car;Crimson dress,Coche rojo;Vestido rojo,Crimson;Scarlet,Carmesí;Escarlata,,,adjective;color,Red,Rojo
azul,blue;navy,/aˈθul/,-4,Blue sky;Navy shirt,Cielo azul;Camisa azul marino,Navy;Cyan,Marino;Cian,,,adjective;color,Blue,Azul
verde,green;emerald,/ˈberðe/,-4,Green tree;Emerald eyes,Árbol verde;Ojos esmeralda,Emerald;Lime,Esmeralda;Lima,,,adjective;color,Green,Verde
amarillo,yellow;golden,/amaˈɾiʎo/,-4,Yellow flower;Golden sun,Flor amarilla;Sol dorado,Golden;Blonde,Dorado;Rubio,,,adjective;color,Yellow,Amarillo
negro,black;dark,/ˈneɣɾo/,-4,Black car;Dark night,Coche negro;Noche oscura,Dark;Ebony,Oscuro;Ébano,,,adjective;color,Black,Negro
blanco,white;pure,/ˈblanko/,-4,White snow;Pure dress,Nieve blanca;Vestido puro,Pure;Ivory,Puro;Marfil,,,adjective;color,White,Blanco
rosa,pink;rose,/ˈrosa/,-4,Pink flower;Rose color,Flor rosa;Color rosa,Rose;Magenta,Rosa;Magenta,,,adjective;color,Pink,Rosa
morado,purple;violet,/moˈɾaðo/,-4,Purple shirt;Violet flower,Camisa morada;Flor violeta,Violet;Lavender,Violeta;Lavanda,,,adjective;color,Purple,Morado
naranja,orange;tangerine,/naˈɾanχa/,-4,Orange fruit;Tangerine color,Fruta naranja;Color naranja,Tangerine;Amber,Mandarina;Ámbar,,,adjective;color,Orange,Naranja
gris,gray;grey,/ɡɾis/,-4,Gray clouds;Grey hair,Nubes grises;Cabello gris,Grey;Silver,Gris;Plateado,,,adjective;color,Gray,Gris
marrón,brown;chestnut,/maˈron/,-4,Brown dog;Chestnut hair,Perro marrón;Cabello castaño,Chestnut;Tan,Castaño;Bronceado,,,adjective;color,Brown,Marrón
dorado,golden;gold,/doˈɾaðo/,-4,Golden ring;Gold medal,Anillo dorado;Medalla de oro,Gold;Gilt,Oro;Dorado,,,adjective;color,Golden,Dorado
uno,one;first,/ˈuno/,-5,,,primero,first,number;cardinal,One,Uno,,
dos,two;second,/dos/,-5,Two people;Second place,Dos personas;Segundo lugar,,segundo;par,second;pair,number;cardinal,Two,Dos,
tres,three;third,/tɾes/,-5,Three cats;Third option,Tres gatos;Tercera opción,,tercero;trío,third;trio,number;cardinal,Three,Tres,
cuatro,four;fourth,/ˈkwatɾo/,-5,Four dogs;Fourth floor,Cuatro perros;Cuarto piso,Fourth,Cuarto,,,number;cardinal,Four,Cuatro
cinco,five;fifth,/ˈθinko/,-5,Five books;Fifth grade,Cinco libros;Quinto grado,,quinto,fifth,number;cardinal,Five,Cinco,
seis,six;sixth,/sejs/,-5,Six hours;Sixth sense,Seis horas;Sexto sentido,Sixth,Sexto,,,number;cardinal,Six,Seis
siete,seven;seventh,/ˈsjete/,-5,Seven days;Seventh heaven,Siete días;Séptimo cielo,,séptimo,seventh,number;cardinal,Seven,Siete,
ocho,eight;eighth,/ˈotʃo/,-5,Eight years;Eighth wonder,Ocho años;Octava maravilla,Eighth,Octavo,,,number;cardinal,Eight,Ocho
nueve,nine;ninth,/ˈnweβe/,-5,Nine months;Ninth inning,Nueve meses;Novena entrada,,noveno,ninth,number;cardinal,Nine,Nueve,
diez,ten;tenth,/djeθ/,-5,Ten fingers;Tenth anniversary,Diez dedos;Décimo aniversario,Tenth,Décimo,decena,group of ten,number;cardinal,Ten,Diez
