,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.onboarding.so-many-words,Столько слов ты выучишь через месяц!,You will learn so many words in a month!,Sie werden in einem Monat so viele Wörter lernen!,¡Aprenderás muchas palabras en un mes!,한 달이면 정말 많은 단어를 배울 수 있을 거예요!,Vous apprendrez tellement de mots en un mois !,Você aprenderá muitas palavras em um mês!,1 か月でたくさんの単語を学べます!,Imparerai tantissime parole in un mese!,一个月内你就会学到很多单词！,คุณจะเรียนรู้คำศัพท์มากมายภายในหนึ่งเดือน!,Anda akan mempelajari banyak kata dalam sebulan!
ui.onboarding.native-language,Родной язык,Native language,Muttersprache,Lengua materna,모국어,Langue maternelle,Língua materna,母国語,Madrelingua,母语,ภาษาพื้นเมือง,Bahasa asli
ui.onboarding.learning-language,Изучаемый язык,Learning Language,Lernsprache,Lengua en estudio,공부하는 언어,Langue étudiée,Língua em estudo,学習中の言語,Lingua studiata,正在学习的语言,ภาษาที่กำลังศึกษาอยู่,Bahasa yang sedang dipelajari
ui.onboarding.many-words,Столько слов ты выучишь через месяц!,You will learn so many words in a month!,Sie werden in einem Monat so viele Wörter lernen!,¡Aprenderás muchas palabras en un mes!,한 달이면 정말 많은 단어를 배울 수 있을 거예요!,Vous apprendrez tellement de mots en un mois !,Você aprenderá muitas palavras em um mês!,1 か月でたくさんの単語を学べます!,Imparerai tantissime parole in un mese!,一个月内你就会学到很多单词！,คุณจะเรียนรู้คำศัพท์มากมายภายในหนึ่งเดือน!,Anda akan mempelajari banyak kata dalam sebulan!
ui.onboarding.lets-start,Давай начнем с изучения слов!,Let's start by learning words!,Beginnen wir mit dem Lernen von Wörtern!,¡Comencemos aprendiendo palabras!,단어를 배우는 것부터 시작해 볼까요!,Commençons par apprendre des mots !,Vamos começar aprendendo palavras!,まずは単語の勉強から始めましょう！,Cominciamo imparando le parole!,让我们从学习单词开始吧！,มาเริ่มต้นด้วยการเรียนรู้คำศัพท์กันก่อน!,Mari kita mulai dengan mempelajari kata-kata!
ui.onboarding.press-to-see,"Нажми на кнопку, чтобы
увидеть перевод слова","Click the button to
see the translation of the word","Klicken Sie auf die Schaltfläche, um die Übersetzung des Wortes anzuzeigen.",Haga clic en el botón para ver la traducción de la palabra.,"버튼을 클릭해서
단어의 번역을 확인하세요",Cliquez sur le bouton pour voir la traduction du mot.,"Clique no botão para
ver a tradução da palavra","ボタンをクリックすると
単語の翻訳が表示されます","Clicca sul pulsante per
vedere la traduzione della parola","点击按钮
查看单词的翻译",คลิกปุ่มเพื่อดูคำแปลของคำ,"Klik tombol untuk
melihat terjemahan kata tersebut"
ui.onboarding.swipe-if-know,"Если ты уже знаешь это слово,
ты можешь смахнуть его влево","If you already know the word, you can swipe it left","Wenn Sie das Wort bereits kennen, können Sie es nach links wischen","Si ya conoces la palabra, puedes deslizarla hacia la izquierda.",이미 단어를 알고 있다면 왼쪽으로 스와이프하세요,"Si vous connaissez déjà le mot, vous pouvez le faire glisser vers la gauche","Se você já conhece a palavra, pode deslizar para a esquerda",すでにその単語を知っている場合は、左にスワイプしてください,"Se conosci già la parola, puoi scorrerla verso sinistra",如果你已经知道这个单词，你可以向左滑动,หากคุณรู้คำนั้นอยู่แล้ว คุณสามารถปัดไปทางซ้ายได้,"Jika Anda sudah mengetahui kata tersebut, Anda dapat menggesernya ke kiri"
ui.onboarding.hide,"Если ты не хочешь изучать это
слово, ты можешь его скрыть","If you don't want to learn this word, you can hide it.","Wenn Sie dieses Wort nicht lernen möchten, können Sie es ausblenden.","Si no quieres aprender esta palabra, puedes ocultarla.",이 단어를 배우고 싶지 않다면 숨기면 됩니다.,"Si vous ne voulez pas apprendre ce mot, vous pouvez le cacher.","Se você não quiser aprender essa palavra, você pode escondê-la.",この単語を学習したくない場合は、非表示にすることができます。,"Se non vuoi imparare questa parola, puoi nasconderla.",如果你不想学习这个单词，你可以隐藏它。,หากคุณไม่อยากเรียนรู้คำนี้ คุณสามารถซ่อนมันได้,"Jika Anda tidak ingin mempelajari kata ini, Anda dapat menyembunyikannya."
ui.onboarding.swipe-to-start-learn,"Чтобы начать изучение
слова смахни его вправо","To start learning a word, swipe it to the right","Um mit dem Lernen eines Wortes zu beginnen, wischen Sie es nach rechts","Para comenzar a aprender una palabra, deslícela hacia la derecha.",단어 학습을 시작하려면 오른쪽으로 스와이프하세요.,"Pour commencer à apprendre un mot, faites-le glisser vers la droite","Para começar a aprender uma palavra, deslize-a para a direita",単語の学習を始めるには、右にスワイプしてください,"Per iniziare a imparare una parola, scorrila verso destra",要开始学习单词，请向右滑动,หากต้องการเริ่มเรียนรู้คำศัพท์ ให้ปัดไปทางขวา,"Untuk mulai mempelajari sebuah kata, geser ke kanan"
ui.onboarding.interval-start,"Когда ты смахиваешь слово
в право начинается алгоритм
с интервальным повторением","When you swipe a word
to the right, the spaced repetition algorithm begins","Wenn Sie ein Wort nach rechts wischen, beginnt der Algorithmus für die verteilte Wiederholung","Cuando deslizas una palabra hacia la derecha, comienza el algoritmo de repetición espaciada.","단어를 오른쪽으로 스와이프하면
간격 반복 알고리즘이 시작됩니다.","Lorsque vous faites glisser un mot vers la droite, l'algorithme de répétition espacée démarre.","Quando você desliza uma palavra
para a direita, o algoritmo de repetição espaçada começa","単語を右にスワイプすると
間隔をあけた反復アルゴリズムが始まります","Quando scorri una parola
verso destra, inizia l'algoritmo di ripetizione dilazionata",当你向右滑动一个单词时，间隔重复算法就开始了,เมื่อคุณปัดคำไปทางขวา อัลกอริทึมการทำซ้ำแบบเว้นระยะห่างจะเริ่มต้น,"Saat Anda menggeser kata
ke kanan, algoritma pengulangan spasi dimulai"
ui.onboarding.open-by-one-character,"Если ты сомневаешься, ты
можешь открывать по 1 букве","If you have any doubts, you can open them one letter at a time","Wenn Sie Zweifel haben, können Sie sie Buchstabe für Buchstabe öffnen","Si tienes dudas, puedes abrirlas una letra a la vez.",의심이 있으면 한 글자씩 열어보세요.,"Si vous avez des doutes, vous pouvez les ouvrir une lettre à la fois","Se tiver alguma dúvida, pode abrir uma carta de cada vez",疑問があれば、一文字ずつ開けてみてください,"Se hai dei dubbi, puoi aprirli una lettera alla volta",如果你有任何疑问，你可以一次打开一个字母,หากคุณมีข้อสงสัยใด ๆ คุณสามารถเปิดได้ทีละตัวอักษร,"Jika Anda ragu, Anda dapat membukanya satu huruf pada satu waktu"
ui.onboarding.select-from-four,"Или можешь попробовать
выбрать из 4 вариантов","Or you can try
choosing from 4 options",Oder wählen Sie aus vier Optionen,"O puedes probar
eligiendo entre 4 opciones","아니면
4가지 옵션 중에서 선택해 보세요","Ou vous pouvez essayer
de choisir parmi 4 options","Ou você pode tentar
escolher entre 4 opções",または、4つのオプションから選択することもできます,"Oppure puoi provare
a scegliere tra 4 opzioni","或者你可以尝试
从 4 个选项中选择",หรือคุณอาจลองเลือกจาก 4 ตัวเลือก,"Atau Anda dapat mencoba
memilih dari 4 pilihan"
ui.onboarding.lets-start-practice,"У тебя хорошо получается,
давай начнем практику!","You're doing well, let's start practicing!","Du machst das gut, lass uns mit dem Üben beginnen!","¡Lo estás haciendo bien, comencemos a practicar!",잘하고 계시네요. 연습을 시작해 볼까요!,"Tu t'en sors bien, commençons à pratiquer !","Você está indo bem, vamos começar a praticar!",順調ですね、練習を始めましょう！,"Tutto bene, iniziamo ad allenarci!",你做得很好，我们开始练习吧！,ทำได้ดีแล้ว มาเริ่มฝึกซ้อมกันเลย!,"Anda melakukannya dengan baik, mari mulai berlatih!"
ui.onboarding.choose-categories,Выбери категории и начнем!,Select categories and let's get started!,Kategorien auswählen und los geht‘s!,¡Selecciona categorías y comencemos!,카테고리를 선택하고 시작해 보세요!,Sélectionnez les catégories et commençons !,Selecione categorias e vamos começar!,カテゴリーを選択して始めましょう！,Seleziona le categorie e cominciamo!,选择类别然后开始吧！,เลือกหมวดหมู่และเริ่มกันเลย!,Pilih kategori dan mari kita mulai!
ui.onboarding.today,Сегодня,Today,Heute,Hoy,오늘,Aujourd'hui,Hoje,今日,Oggi,今天,วันนี้,Hari ini
ui.onboarding.tomorrow,Завтра,Tomorrow,Morgen,Mañana,내일,Demain,Amanhã,明日,Domani,明天,พรุ่งนี้,Besok
ui.onboarding.day3,День 3,Day 3,Tag 3,Día 3,3일차,Jour 3,Dia 3,3日目,Giorno 3,第 3 天,วันที่ 3,Hari ke-3
ui.onboarding.day6,День 6,Day 6,Tag 6,Día 6,6일차,Jour 6,Dia 6,6日目,Giorno 6,第 6 天,วันที่ 6,Hari ke-6
