,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.category.share-category,Поделиться категорией,Share category,Aktienkategorie,Compartir categoría,카테고리 공유,Catégorie de partage,Compartilhar categoria,シェアカテゴリー,Condividi categoria,分享类别,หมวดหมู่การแบ่งปัน,Bagikan kategori
ui.category.reset-progress,Cбросить прогресс,Reset progress,Fortschritt zurücksetzen,Restablecer progreso,진행 상황 재설정,Réinitialiser la progression,Reiniciar progresso,進行状況をリセット,Ripristina progressi,重置进度,รีเซ็ตความคืบหน้า,Setel ulang kemajuan
ui.category.words-list,Список слов,List of words,Liste der Wörter,Lista de palabras,단어 목록,Liste de mots,Lista de palavras,単語リスト,Elenco di parole,单词列表,รายการคำศัพท์,Daftar kata
ui.category.alphabetical-order,Алфавитный порядок,Alphabetical order,Alphabetische Reihenfolge,Orden alfabético,알파벳 순서,Ordre alphabétique,Ordem alfabética,アルファベット順,Ordine alfabetico,按字母顺序,ลำดับตัวอักษร,Urutan abjad
ui.category-creation.title,Добавление категории,Adding a category,Hinzufügen einer Kategorie,Agregar una categoría,카테고리 추가,Ajouter une catégorie,Adicionando uma categoria,カテゴリの追加,Aggiungere una categoria,添加类别,การเพิ่มหมวดหมู่,Menambahkan kategori
ui.category.default-order,Обычное,Normal,Normal,Normal,정상,Normale,Normal,普通,Normale,普通的,ปกติ,Normal
ui.category.newly-added-order,Недавно добавленые первыми,Recently added first,Zuletzt hinzugefügt zuerst,Recientemente añadido primero,최근에 추가된 첫 번째,Récemment ajouté en premier,Adicionado recentemente primeiro,最近追加されたもの,Aggiunti di recente per primi,最近添加的第一个,เพิ่มล่าสุดก่อน,Baru ditambahkan pertama kali
ui.category.oldly-added-order,Позже добавленные первыми,Later added first,Später zuerst hinzugefügt,Más tarde se añadió primero,나중에 먼저 추가됨,Ajouté plus tard en premier,Mais tarde adicionado primeiro,後に最初に追加,Aggiunto successivamente per primo,后来先添加,ต่อมาได้เพิ่มเข้ามาก่อน,Kemudian ditambahkan pertama kali
ui.category.by-learning-state-order,По статусу изучения,By study status,Nach Studienstatus,Por estado de estudio,연구 상태별,Par statut d'étude,Por status de estudo,学習状況別,Per stato di studio,按学习状态,จำแนกตามสถานะการศึกษา,Berdasarkan status studi
ui.category.review-count-order,По количеству повторений,By number of repetitions,Nach Anzahl der Wiederholungen,Por número de repeticiones,반복 횟수에 따라,Par nombre de répétitions,Por número de repetições,繰り返し回数によって,Per numero di ripetizioni,按重复次数,โดยจำนวนครั้งการทำซ้ำ,Berdasarkan jumlah pengulangan
ui.category.word-order,Порядок слов,Word order,Wortreihenfolge,Orden de palabras,어순,Ordre des mots,Ordem das palavras,語順,Ordine delle parole,词序,ลำดับคำ,Urutan kata
ui.category.reset-title,Сбросить прогресс?,Reset progress?,Fortschritt zurücksetzen?,¿Restablecer el progreso?,진행 상황을 초기화하시겠습니까?,Réinitialiser la progression ?,Redefinir progresso?,進行状況をリセットしますか?,Azzerare i progressi?,重置进度？,รีเซ็ตความคืบหน้า?,Setel ulang kemajuan?
ui.category.reset-message,После сброса прогресса восстановить его не получится,"Once your progress is reset, it won't be possible to restore it.","Sobald Ihr Fortschritt zurückgesetzt wurde, kann er nicht mehr wiederhergestellt werden.","Una vez que se restablezca tu progreso, no será posible restaurarlo.",진행 상황이 초기화되면 복구할 수 없습니다.,"Une fois votre progression réinitialisée, il ne sera plus possible de la restaurer.","Depois que seu progresso for reiniciado, não será possível restaurá-lo.",一度進行状況がリセットされると、復元することはできません。,"Una volta azzerati i progressi, non sarà più possibile ripristinarli.",一旦您的进度被重置，将无法恢复。,เมื่อความคืบหน้าของคุณถูกรีเซ็ตแล้ว จะไม่สามารถคืนค่าได้,"Setelah kemajuan Anda diatur ulang, tidak mungkin untuk memulihkannya."
ui.category.reset-positive,Сбросить,Reset,Zurücksetzen,Reiniciar,다시 놓기,Réinitialiser,Reiniciar,リセット,Reset,重置,รีเซ็ต,Mengatur ulang
ui.category.warning-negative,Отмена,Cancel,Stornieren,Cancelar,취소,Annuler,Cancelar,キャンセル,Cancellare,取消,ยกเลิก,Membatalkan
ui.category.delete-title,Удалить категорию?,Delete category?,Kategorie löschen?,¿Borrar categoría?,카테고리를 삭제하시겠습니까?,Supprimer la catégorie ?,Excluir categoria?,カテゴリを削除しますか?,Eliminare la categoria?,删除类别？,ลบหมวดหมู่?,Hapus kategori?
ui.category.delete-message,После удаления категории восстановить ее не получится,"Once a category is deleted, it cannot be restored.","Sobald eine Kategorie gelöscht wurde, kann sie nicht wiederhergestellt werden.","Una vez que se elimina una categoría, no se puede restaurar.",카테고리를 삭제하면 복구할 수 없습니다.,"Une fois qu'une catégorie est supprimée, elle ne peut pas être restaurée.","Depois que uma categoria é excluída, ela não pode ser restaurada.",カテゴリを削除すると、復元することはできません。,"Una volta eliminata una categoria, non è più possibile ripristinarla.",类别一旦删除，将无法恢复。,เมื่อลบหมวดหมู่แล้ว จะไม่สามารถเรียกคืนได้,"Setelah suatu kategori dihapus, kategori itu tidak dapat dikembalikan lagi."
ui.category.delete-positive,Удалить,Delete,Löschen,Borrar,삭제,Supprimer,Excluir,消去,Eliminare,删除,ลบ,Menghapus
