GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
9b2bf54e-d8c9-4754-b080-8453cc589587,ui.category.enter-category-name,Введите название категории,Enter the category name,Geben Sie den Kategorienamen ein,Introduzca el nombre de la categoría,카테고리 이름을 입력하세요,Entrez le nom de la catégorie,Digite o nome da categoria,カテゴリ名を入力してください,Inserisci il nome della categoria,输入类别名称,กรอกชื่อหมวดหมู่,Masukkan nama kategori
59cdb613-ac0c-40a8-a85f-4285df30ef0f,ui.category.category-name,Название категории,Category name,Kategoriename,Nombre de la categoría,카테고리 이름,Nom de la catégorie,Nome da categoria,カテゴリ名,Nome della categoria,类别名称,ชื่อหมวดหมู่,Nama kategori
33fe2e24-fc0a-4be7-9d71-3526cefc5842,ui.category.save-category,Сохранить категорию,Save category,Kategorie speichern,Guardar categoría,카테고리 저장,Enregistrer la catégorie,Salvar categoria,カテゴリを保存,Salva categoria,保存类别,บันทึกหมวดหมู่,Simpan kategori
e96dea20-5f87-4d68-bcac-60898bfc8978,ui.category.load-words,Загрузить слова,Load words,Wörter laden,Cargar palabras,단어 로드,Charger des mots,Carregar palavras,単語を読み込む,Carica parole,加载单词,โหลดคำ,Muat kata-kata
c999a396-a868-45f6-8c75-278c4d4505b2,ui.category.share-category,Поделиться категорией,Share category,Aktienkategorie,Compartir categoría,카테고리 공유,Catégorie de partage,Compartilhar categoria,シェアカテゴリー,Condividi categoria,分享类别,หมวดหมู่การแบ่งปัน,Bagikan kategori
5a425208-b19a-4289-9442-022718a7e35d,ui.category.reset-progress,Cбросить прогресс,Reset progress,Fortschritt zurücksetzen,Restablecer progreso,진행 상황 재설정,Réinitialiser la progression,Reiniciar o progresso,進行状況をリセット,Ripristina progressi,重置进度,รีเซ็ตความคืบหน้า,Setel ulang kemajuan
ab931ddc-3a4e-42ca-a823-90250d1c31dd,ui.category.words-list,Список слов,List of words,Liste der Wörter,Lista de palabras,단어 목록,Liste de mots,Lista de palavras,単語リスト,Elenco di parole,单词列表,รายการคำศัพท์,Daftar kata
71a1a3d9-ab37-4edf-b8f9-0c5ddbb7bfdd,ui.category.alphabetical-order,Алфавитный порядок,Alphabetical order,Alphabetische Reihenfolge,Orden alfabético,알파벳 순서,Ordre alphabétique,Ordem alfabética,アルファベット順,Ordine alfabetico,按字母顺序,ลำดับตัวอักษร,Urutan abjad
cf7b7a2d-bc63-4a7c-8dae-64e2a109ec42,ui.category-creation.title,Добавление категории,Adding a category,Hinzufügen einer Kategorie,Agregar una categoría,카테고리 추가,Ajouter une catégorie,Adicionando uma categoria,カテゴリーの追加,Aggiungere una categoria,添加类别,การเพิ่มหมวดหมู่,Menambahkan kategori
04a84885-101a-4574-8d92-a695553d9a72,ui.category.default-order,Обычное,Normal,Normal,Normal,정상,Normale,Normal,普通,Normale,普通的,ปกติ,Normal
d9a3562b-5c49-4c42-8e6a-8abdf76582f2,ui.category.newly-added-order,Недавно добавленые первыми,Recently added first,Zuletzt hinzugefügt zuerst,Recientemente añadido primero,최근에 추가된 첫 번째,Récemment ajouté en premier,Adicionado recentemente primeiro,最近追加されたもの,Aggiunti di recente per primi,最近添加的第一个,เพิ่มล่าสุดก่อน,Baru ditambahkan pertama kali
72560839-03cf-4d23-8f90-ef7ec07b2700,ui.category.oldly-added-order,Позже добавленные первыми,Later added first,Später zuerst hinzugefügt,Más tarde se añadió primero,나중에 먼저 추가됨,Ajouté plus tard en premier,Mais tarde adicionado primeiro,後に最初に追加,Aggiunto successivamente per primo,后来先添加,ต่อมาได้เพิ่มเข้ามาก่อน,Kemudian ditambahkan pertama kali
8e42861c-17a1-40a8-ae85-0ffdeffe40ae,ui.category.by-learning-state-order,По статусу изучения,By study status,Nach Studienstatus,Por estado de estudio,연구 상태별,Par statut d'étude,Por status de estudo,学習状況別,Per stato di studio,按学习状态,จำแนกตามสถานะการศึกษา,Berdasarkan status studi
2bcfbfc4-1893-4954-b7fb-4477347d976c,ui.category.review-count-order,По количеству повторений,By number of repetitions,Nach Anzahl der Wiederholungen,Por número de repeticiones,반복 횟수에 따라,Par nombre de répétitions,Por número de repetições,繰り返し回数によって,Per numero di ripetizioni,按重复次数,โดยจำนวนครั้งการทำซ้ำ,Berdasarkan jumlah pengulangan
3837e470-feee-455a-8750-89dc21d96e10,ui.category.word-order,Порядок слов,Word order,Wortreihenfolge,Orden de palabras,어순,Ordre des mots,Ordem das palavras,語順,Ordine delle parole,词序,ลำดับคำ,Urutan kata
35f3a64d-34f3-45f0-b64e-b55d52825c32,ui.category.reset-title,Сбросить прогресс?,Reset progress?,Fortschritt zurücksetzen?,¿Restablecer el progreso?,진행 상황을 초기화하시겠습니까?,Réinitialiser la progression ?,Redefinir progresso?,進行状況をリセットしますか?,Azzerare i progressi?,重置进度？,รีเซ็ตความคืบหน้า?,Setel ulang kemajuan?
440e0edb-2641-41d3-b10f-ac472ffd85f2,ui.category.reset-message,После сброса прогресса восстановить его не получится,"Once your progress is reset, it won't be possible to restore it.","Sobald Ihr Fortschritt zurückgesetzt wurde, kann er nicht mehr wiederhergestellt werden.","Una vez que se restablezca tu progreso, no será posible restaurarlo.",진행 상황이 초기화되면 더 이상 복구할 수 없습니다.,"Une fois votre progression réinitialisée, il ne sera plus possible de la restaurer.","Depois que seu progresso for reiniciado, não será possível restaurá-lo.",一度進行状況がリセットされると、 復元することはできません。,"Una volta azzerati i progressi, non sarà più possibile ripristinarli.",一旦您的进度被重置，将无法恢复。,เมื่อความคืบหน้าของคุณถูกรีเซ็ตแล้ว จะไม่สามารถคืนค่าได้,"Setelah kemajuan Anda diatur ulang, tidak mungkin untuk memulihkannya."
32e18a27-2612-40ae-aa2b-8b78d1260fed,ui.category.reset-positive,Сбросить,Reset,Zurücksetzen,Reiniciar,다시 놓기,Réinitialiser,Reiniciar,リセット,Reset,重置,รีเซ็ต,Mengatur ulang
472eefb4-acec-4434-ab52-8334db75d659,ui.category.warning-negative,Отмена,Cancel,Stornieren,Cancelar,취소,Annuler,Cancelar,キャンセル,Cancellare,取消,ยกเลิก,Membatalkan
00da3bc4-2828-4534-af5f-7e8e7fcafbe7,ui.category.delete-title,Удалить категорию?,Delete category?,Kategorie löschen?,¿Borrar categoría?,카테고리를 삭제하시겠습니까?,Supprimer la catégorie ?,Excluir categoria?,カテゴリを削除しますか?,Eliminare la categoria?,删除类别？,ลบหมวดหมู่?,Hapus kategori?
8178a94e-434d-4cad-b3ae-40e954a30d3e,ui.category.delete-message,После удаления категории восстановить ее не получится,"Once a category is deleted, it cannot be restored.","Sobald eine Kategorie gelöscht wurde, kann sie nicht wiederhergestellt werden.","Una vez que se elimina una categoría, no se puede restaurar.",카테고리를 삭제하면 복구할 수 없습니다.,"Une fois qu'une catégorie est supprimée, elle ne peut pas être restaurée.","Depois que uma categoria é excluída, ela não pode ser restaurada.",カテゴリを削除すると、 復元することはできません。,"Una volta eliminata una categoria, non è più possibile ripristinarla.",类别一旦删除，将无法恢复。,เมื่อลบหมวดหมู่แล้ว จะไม่สามารถเรียกคืนได้,"Setelah suatu kategori dihapus, kategori itu tidak dapat dikembalikan lagi."
1a876d1f-b32c-43d2-a87c-46505abe8887,ui.category.delete-positive,Удалить,Delete,Löschen,Borrar,삭제,Supprimer,Excluir,消去,Eliminare,删除,ลบ,Menghapus
e5f571a8-434b-4390-b9bb-d488a500f3d2,ui.category.category-name-required,Требуется название категории,Category name required,Kategoriename erforderlich,Nombre de categoría requerido,카테고리 이름이 필요합니다,Nom de catégorie requis,Nome da categoria obrigatório,カテゴリ名は必須です,Nome della categoria obbligatorio,必填类别名称,จำเป็นต้องมีชื่อหมวดหมู่,Nama kategori diperlukan
