,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.disctionary.choose-icon,Выберите иконку,Select an icon,Wählen Sie ein Symbol,Seleccione un icono,아이콘을 선택하세요,Sélectionnez une icône,Selecione um ícone,アイコンを選択,Seleziona un'icona,选择一个图标,เลือกไอคอน,Pilih ikon
ui.disctionary.enter-category-name,Введите название категории,Enter category name,Kategorienamen eingeben,Introduzca el nombre de la categoría,카테고리 이름을 입력하세요,Entrez le nom de la catégorie,Digite o nome da categoria,カテゴリ名を入力してください,Inserisci il nome della categoria,输入类别名称,กรอกชื่อหมวดหมู่,Masukkan nama kategori
ui.disctionary.category-name,Название категории,Category name,Kategoriename,Nombre de la categoría,카테고리 이름,Nom de la catégorie,Nome da categoria,カテゴリ名,Nome della categoria,类别名称,ชื่อหมวดหมู่,Nama kategori
ui.disctionary.save-category,Сохранить категорию,Save category,Kategorie speichern,Guardar categoría,카테고리 저장,Enregistrer la catégorie,Salvar categoria,カテゴリを保存,Salva categoria,保存类别,บันทึกหมวดหมู่,Simpan kategori
ui.disctionary.load-words,Загрузить слова,Load words,Wörter laden,Cargar palabras,단어 로드,Charger des mots,Carregar palavras,単語を読み込む,Carica parole,加载单词,โหลดคำ,Muat kata-kata
ui.disctionary.share-category,Поделиться категорией,Share category,Aktienkategorie,Compartir categoría,카테고리 공유,Partager la catégorie,Compartilhar categoria,シェアカテゴリー,Condividi categoria,分享类别,หมวดหมู่การแบ่งปัน,Bagikan kategori
ui.disctionary.reset-progress,Cбросить прогресс,Reset progress,Fortschritt zurücksetzen,Restablecer progreso,진행 상황 재설정,Réinitialiser la progression,Reiniciar o progresso,進行状況をリセット,Ripristina progressi,重置进度,รีเซ็ตความคืบหน้า,Setel ulang kemajuan
ui.disctionary.words-list,Список слов,List of words,Liste der Wörter,Lista de palabras,단어 목록,Liste de mots,Lista de palavras,単語リスト,Elenco di parole,单词列表,รายการคำศัพท์,Daftar kata
ui.disctionary.alphabetical-order,Алфавитный порядок,Alphabetical order,Alphabetische Reihenfolge,Orden alfabético,알파벳 순서,Ordre alphabétique,Ordem alfabética,アルファベット順,Ordine alfabetico,按字母顺序,ลำดับตัวอักษร,Urutan abjad
ui.disctionary.category-creation-title,Добавление категории,Adding a category,Hinzufügen einer Kategorie,Agregar una categoría,카테고리 추가,Ajouter une catégorie,Adicionando uma categoria,カテゴリの追加,Aggiungere una categoria,添加类别,การเพิ่มหมวดหมู่,Menambahkan kategori
ui.disctionary.default-order,Обычное,Normal,Normal,Normal,정상,Normale,Normal,普通,Normale,普通的,ปกติ,Normal
ui.disctionary.newly-added-order,Недавно добавленые первыми,Recently added first,Zuletzt hinzugefügt zuerst,Recientemente añadido primero,최근에 추가된 첫 번째,Récemment ajouté en premier,Adicionado recentemente primeiro,最近追加されたもの,Aggiunti di recente per primi,最近添加,เพิ่มล่าสุดก่อน,Baru ditambahkan pertama kali
ui.disctionary.oldly-added-order,Позже добавленные первыми,Later added first,Später zuerst hinzugefügt,Más tarde se añadió primero,나중에 먼저 추가됨,Ajouté plus tard en premier,Mais tarde adicionado primeiro,後で最初に追加,Aggiunto successivamente per primo,后来先添加,ต่อมาได้เพิ่มเข้ามาก่อน,Kemudian ditambahkan pertama kali
ui.disctionary.by-learning-state-order,По статусу изучения,By study status,Nach Studienstatus,Por estado de estudio,연구 상태별,Par statut d'étude,Por status de estudo,学習状況別,Per stato di studio,按学习状态,จำแนกตามสถานะการศึกษา,Berdasarkan status studi
ui.disctionary.review-count-order,По количеству повторений,By number of repetitions,Nach Anzahl der Wiederholungen,Por número de repeticiones,반복 횟수에 따라,Par nombre de répétitions,Por número de repetições,繰り返し回数によって,Per numero di ripetizioni,按重复次数,โดยจำนวนครั้งการทำซ้ำ,Berdasarkan jumlah pengulangan
ui.disctionary.word-order,Порядок слов,Word order,Wortreihenfolge,Orden de palabras,어순,Ordre des mots,Ordem das palavras,語順,Ordine delle parole,词序,ลำดับคำ,Urutan kata
